Vernier Format 2
Sin título.cmbl 20/01/2026 14:57:00 .
Último
Tiempo	Potencial	Corriente	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
0.4	 	 	0.01745329252	0.416939765754	6.30257785442	0.426006	-0.0354433333333	-0.580347530864
0.45	 	 	0.0349065850399	0.795094437019	9.16836539165	0.4241195	-0.0721252777778	-0.854800462963
0.5	 	 	0.0872664625997	1.37687085435	11.1991960336	0.419489	-0.124528055556	-1.04826728395
0.55	 	 	0.174532925199	1.95864727168	12.2550124947	0.411943	-0.183790833333	-1.08320246914
0.6	 	 	0.279252680319	2.61799387799	12.7344393571	0.400967	-0.240195277778	-0.930758024691
0.65	 	 	0.436332312999	3.2773404843	12.082634297	0.3874185	-0.284023055556	-0.577489197531
0.7	 	 	0.610865238198	3.85911690163	10.2888236769	0.3719835	-0.308509444444	0.0251956790123
0.75	 	 	0.820304748437	4.40210822447	6.31873831046	0.355005	-0.293455555556	0.851412808642
0.8	 	 	1.06465084372	4.62512251778	-0.0215472747168	0.339913	-0.220186944444	1.58431064815
0.85	 	 	1.308996939	4.33423430912	-5.01512819014	0.3315095	-0.113571111111	1.87099089506
0.9	 	 	1.50098315672	3.92699081699	-6.12481283801	0.3291085	-0.0139105555556	1.73966635802
0.95	 	 	1.69296937443	3.64579888194	-5.06360955825	0.3311665	0.0649794444444	1.47029490741
1	 	 	1.86750229963	3.38399949414	-2.73111707025	0.3363115	0.127481666667	1.28587947531
1.05	 	 	2.02458193231	3.29673303154	0.996561455613	0.3438575	0.187983055556	1.21415648148
1.1	 	 	2.18166156499	3.51005105123	4.22865266301	0.355005	0.249151388889	1.15291404321
1.15	 	 	2.37364778271	3.81063553352	5.76389598653	0.369068	0.304793611111	1.05652469136
1.2	 	 	2.56563400043	4.09182746856	6.88974109044	0.385532	0.357101111111	0.893652623457
1.25	 	 	2.77507351067	4.50876723432	7.68699025493	0.405083	0.400071388889	0.599879475309
1.3	 	 	3.01941960595	4.88692190558	8.02097301302	0.4265205	0.421413611111	0.191878858025
1.35	 	 	3.26376570123	5.28446912409	8.65123079846	0.447958	0.422271111111	-0.31769845679
1.4	 	 	3.54301838155	5.7692828052	8.52733396885	0.469567	0.397689444444	-0.994435339506
1.45	 	 	3.83972435439	6.23470393907	6.14636011273	0.4896325	0.328613055556	-1.75713395062
1.5	 	 	4.17133691227	6.54498469498	0.641031422801	0.504553	0.213136388889	-2.31186234568
1.55	 	 	4.52040276267	6.33166667529	-5.45684732182	0.511756	0.0778419444444	-2.44016975309
1.6	 	 	4.8171087355	5.82746044694	-8.29031394697	0.511756	-0.0471625	-2.19350617284
1.65	 	 	5.09636141582	5.39112813394	-8.51656033149	0.505925	-0.147585277778	-1.7792595679
1.7	 	 	5.35816080362	4.9354032737	-7.35839431551	0.495978	-0.223331111111	-1.37702854938
1.75	 	 	5.58505360638	4.60572997054	-5.07438319561	0.482944	-0.281450555556	-1.05382515432
1.8	 	 	5.81194640914	4.42150077172	-2.63954115271	0.4673375	-0.326135833333	-0.798216049383
1.85	 	 	6.02138591938	4.37301940361	-0.732607340345	0.4498445	-0.359101944444	-0.594321604938
1.9	 	 	6.24827872214	4.37301940361	0.73799415902	0.431151	-0.384255277778	-0.407418364198
1.95	 	 	6.45771823238	4.42150077172	2.65031479007	0.411257	-0.402739166667	-0.142599074074
2	 	 	6.68461103514	4.60572997054	5.03667546486	0.390334	-0.406169166667	0.303883179012
2.05	 	 	6.9115038379	4.94509954732	6.65810788724	0.3695825	-0.381968611111	0.969927777778
2.1	 	 	7.1733032257	5.38143186032	5.60229142615	0.350546	-0.316989166667	1.78222376543
2.15	 	 	7.45255590602	5.70140888985	0.522521411863	0.3356255	-0.200845555556	2.48172145062
2.2	 	 	7.76671517137	5.53657223827	-6.48034287083	0.328594	-0.0466861111111	2.68598641975
2.25	 	 	8.02851455917	4.90631445283	-10.5527777921	0.3315095	0.0967069444444	2.27332777778
2.3	 	 	8.25540736193	4.26636039376	-10.051803655	0.340599	0.192175277778	1.58288148148
2.35	 	 	8.44739357965	3.78154671265	-6.51266378291	0.3524325	0.247341111111	1.01857237654
